ID,Initiative,Card Name,Tier,Color,Defense,Movement,Attack,Action Type,Range/Radius,Card Text,Item Icon
R3A,9,Violent Torrent,III,Red,7,4,7,Attack,,"Target a unit adjacent to you. Before the attack: Up to 1 enemy hero in any of the 5 spaces in a straight line directly behind the target discards a card, or is defeated.
May repeat once on a different unit.",Initiative
G2B,4,Arcane Whirlpool,II,Green,3,2,,Skill - Ranged,4,"Swap with an enemy minion in range.
( Swap places with the target. This is not movement. )",Defense
G3B,3,Ebb And Flow,III,Green,4,2,,Skill - Ranged,4,"Swap with an enemy minion in range;
if it was adjacent to you, may repeat once.",Defense
G2A,4,Magical Current,II,Green,3,2,,Skill - Ranged,3,"Place yourself into a space in range without a spawn point and not adjacent to an empty spawn point.",Attack
R2B,8,Rogue Wave,II,Red,4,4,4,Attack - Ranged,2,"Target a unit in range.
After the attack: You may push an enemy unit adjacent to you up to 2 spaces.",Defense
G3A,3,Stranger Tide,III,Green,4,2,,Skill - Ranged,3,"Place yourself into a space in range without a spawn point.",Radius
R2A,8,Raging Stream,II,Red,7,4,7,Attack,,"Target a unit adjacent to you. Before the attack: Up to 1 enemy hero in any of the 3 spaces in a straight line directly behind the target discards a card, or is defeated.",Initiative
R3B,9,Tidal Blast,III,Red,4,4,4,Attack - Ranged,2,"Target a unit in range.
After the attack: You may push an enemy unit adjacent to you up to 3 spaces.",Movement
R1,8,Dangerous Current,I,Red,6,4,6,Attack,,"Target a unit adjacent to you. Before the attack: Up to 1 enemy hero in any of the 2 spaces in a straight line directly behind the target discards a card, or is defeated.",
G1,4,Liquid Leap,I,Green,3,2,,Skill - Ranged,2,"Place yourself into a space in range without a spawn point and not adjacent to an empty spawn point.",
B1,9,Aspiring Duelist,I,Blue,5,3,,Defense,,"Ignore all minion defense modifiers.
( This includes your minions, as well as enemy minions. )",
B2B,10,Slippery Ground,II,Blue,6,3,,Movement,,"**This turn:** Enemy heroes adjacent to you cannot fast travel, or move more than 1 space with a movement action.",Attack
S,13,Spell Break,Basic,Silver,3,,,Basic Skill,3,"**This turn:** Enemy heroes in radius cannot perform skill actions, except on gold cards.
( Skill is an action type. Other action types are unaffected. )",
B2A,10,Expert Duelist,II,Blue,6,3,,Defense,,"Ignore all minion defense modifiers.
**This turn:** You are immune to attack actions of all enemy heroes, except this attacker.",Initiative
D,11,Noble Blade,Basic,Gold,2,1,4,Basic Attack,,"Target a unit adjacent to you.
Before the attack: You may move another unit that is adjacent to the target 1 space.
( ""Another unit"" never includes you. )",
DH,10,Ceremonial Blade,H,Gold,1,1,3,Basic Attack,,"Target a hero adjacent to you.
Before the attack: You may move a minion that is adjacent to the target 1 space.",
B3B,10,Deluge,III,Blue,6,3,,Movement,1,"**This turn:** Enemy heroes in radius cannot fast travel, or move more than 1 space with a movement action.",Attack
B3A,10,Master Duelist,III,Blue,6,3,,Defense,,"Ignore all minion defense modifiers.
**This round:** You are immune to attack actions of all enemy heroes, except this attacker.",Radius
P,,Living Tsunami,IV,Purple,,,,Ultimate,,"Once per turn, before performing an Attack action, you may move 1 space.",
