ID,Initiative,Card Name,Tier,Color,Defense,Movement,Attack,Action Type,Range/Radius,Card Text,Item Icon
R2A,9,Finger of Death,II,Red,6,4,4,Attack - Ranged,3,"Choose one —
• Target a unit adjacent to you.
• Target a hero in range who has one or more cards in the discard.",Initiative
S,7,Death Trap,Basic,Silver,1,,,Basic Skill,4,"An enemy hero in radius who is adjacent to an empty spawn point in the battle zone discards a card, if able.",
R3B,10,Blazing Skull,III,Red,5,4,4,Attack - Ranged,2,"Target a unit in range. After the attack:
Move up to 2 minions adjacent to you 1 space each, to spaces not adjacent to you.",Radius
B2A,10,Vampiric Shield,II,Blue,4+,3,,Defense,2,"+2 Defense if there are 2 or more empty spawn points in radius in the battle zone.",Initiative
D,12,Dread Razor,Basic,Gold,1,1,2,Basic Attack - Ranged,2,"Choose one —
• Target a unit adjacent to you.
• If you are adjacent to an empty spawn point in the battle zone, target a unit in range.",
R3A,10,Middlefinger of Death,III,Red,6,4,5,Attack - Ranged,3,"Choose one, or both, on different targets —
• Target a unit adjacent to you.
• Target a hero in range who has one or more cards in the discard.",Movement
B1,10,Shield of Decay,I,Blue,3+,3,,Defense,2,"+2 Defense if there are 2 or more empty spawn points in radius in the battle zone.",
R1,9,Littlefinger of Death,I,Red,5,4,4,Attack - Ranged,2,"Choose one —
• Target a unit adjacent to you.
• Target a hero in range who has one or more cards in the discard.",
R2B,9,Burning Skull,II,Red,5,4,3,Attack - Ranged,2,"Target a unit in range. After the attack:
Move up to 1 minion adjacent to you 1 space, to a space not adjacent to you.",Defense
B2B,10,Weakness,II,Blue,4,3,,Skill,4,"This turn: Enemy heroes in radius have -4 Attack.
( They can still attack, even with a negative attack value. )",Attack
G2A,3,Darker Ritual,II,Green,2,2,,Skill,3,"If there are 2 or more empty spawn points in radius in the battle zone, gain 2 coins.",Defense
B3B,11,Enfeeblement,III,Blue,4,3,,Skill,4,"This turn: Enemy heroes in radius have -6 Attack and cannot repeat actions.",Attack
B3A,11,Aegis of Doom,III,Blue,4+,3,,Defense,2,"+4 Defense if there are 2 or more empty spawn points in radius in the battle zone.",Initiative
G1,3,Dark Ritual,I,Green,2,2,,Skill,3,"If there are 2 or more empty spawn points in radius in the battle zone, gain 1 coin.",
G2B,3,Necromancy,II,Green,2,2,,Skill,,"Respawn a friendly minion in an empty friendly spawn point adjacent to you in the battle zone.",Attack
P,,Tide of Darkness,IV,Purple,,,,Ultimate,,"While you are performing an action, all spaces count as if they were in the battle zone and had a friendly minion spawn point.",
DH,11,Rusty Razor,H,Gold,1,1,1,Basic Attack - Ranged,2,"Choose one —
• Target a hero adjacent to you.
• If you are adjacent to an empty spawn point in the battle zone, target a hero in range.",
G3B,2,Necromastery,III,Green,3,2,,Skill,1,"Respawn a friendly minion in an empty friendly spawn point in radius in the battle zone.",Radius
G3A,2,Darkest Ritual,III,Green,3,2,,Skill,3,"If there are 2 or more empty spawn points in radius in the battle zone, gain 2 coins. If you have your Ultimate, gain an Attack item.
( Use any spare card from the box with the corresponding icon. )",Defense
