ID,Card Name,Tier,Color,Movement,Attack,Action Type,Range/Radius,Card Text
DC1,Shocking Grasp,Basic,Gold,,3,Basic Attack,,"Target a unit adjacent to you.
After the attack: Move the target up to 1 space."
DC2,Magic Missile,Basic,Gold,,1,Basic Attack - Ranged,3,Target a unit in range and not adjacent to you.
DC3,Expeditious Retreat,Basic,Gold,5,,Basic Movement,,Move only in a straight line.
RE1,Burning Hands,I,Red,,5,Attack,,"Target a unit adjacent to you.
Before the attack: Up to 1 enemy hero adjacent to the target discards a card, if able."
RE2,Fireball,II,Red,,5,Attack - Ranged,3,"Target a unit in range, not adjacent to you or to your friendly unit."
RE3,Sunburst,III,Red,,0+,Attack - Ranged,0+,"Target a unit at maximum range.
+1 Attack and +1 Range for each other spell card removed from the spellbook."
RN2A,Vampiric Touch,II,Red,,5,Attack,,"Target a unit adjacent to you.
After the attack: You may retrieve a discarded card."
RN2B,Create Undead,II,Red,,,Skill - Ranged,3,Respawn a friendly minion in an empty friendly spawn point in range in the battle zone.
RN3,Energy Drain,III,Red,,,Skill - Ranged,3,"An enemy hero in range discards a non-basic card, if able. Your team regains 1 spent Life counter."
GA1,Shield,I,Green,,,Skill,,"This round: You are immune to basic attacks.
( Cancelled if the spell is returned to the spellbook. )"
GA2,Banishment,II,Green,,,Skill,3,Place a unit or a token adjacent to you into a space in radius.
GA3,Invulnerability,III,Green,,,Skill,,This Round: You are immune to non-basic attacks.
GC2A,Find Familiar,II,Green,,,Skill,3,"Place a Familiar token in radius.
You may remove up to three other spell cards from the spellbook faceup."
GC2B,Dimension Door,II,Green,,,Skill,0+,"Place yourself into a space at maximum radius.
+1 Radius for each other spell card removed from the spellbook."
GC3,Cloud Kill,III,Green,,,Skill,3,"An enemy hero in radius discards a basic card, if able."
BM1,Suggestion,I,Blue,,,Skill,3,"If able, an enemy hero in radius moves 3 spaces in a straight line."
BM2,Dominate Person,II,Blue,,,Skill,3,"Target an enemy hero in radius.
Defeat an enemy minion in radius adjacent to the target."
BM3,Power Word Kill,III,Blue,,,Skill,3,Defeat an enemy hero in radius with no cards in hand.
BT2A,Midas' Touch,II,Blue,,,Skill,,Gain 1 coin for every two other spell cards removed from the spellbook.
BT2B,Disintegrate,II,Blue,,,Skill,,Remove a token or an enemy non-heavy minion adjacent to you.
BT3,Polymorph,III,Blue,,,Skill,3,Swap an enemy hero in radius with a token in radius or with an enemy minion in radius.
PW4,Wish,IV,Purple,,,Skill,,"Cast any spell in the Spellbook.
After you cast the “Wish” spell three times your team wins the game."
