ID,Initiative,Card Name,Tier,Color,Defense,Movement,Attack,Action Type,Range/Radius,Card Text,Item Icon
G1,6,Treacherous Ground,I,Green,4,2,,Skill - Ranged,3,"You may move a unit in range 1 space to a space adjacent to terrain, or a Rock token.",
G2A,5,Rockslide,II,Green,4,2,,Skill - Ranged,4,"You may move a unit in range 1 space to a space adjacent to terrain, or a Rock token.",Attack
G2B,5,Rolling Stone,II,Green,4,2,,Skill,,"Move any number of spaces in a straight line, ignoring obstacles, without moving through more than one empty space.
(The starting space and the destination space do not count.)",Initiative
G3A,5,Avalanche,III,Green,5,2,,Skill - Ranged,4,"You may move a unit in range 1 space to a space adjacent to terrain, or a Rock token.
May repeat once.",Range
G3B,5,Strolling Stone,III,Green,5,2,,Skill,,"Move any number of spaces in a straight line, ignoring obstacles, without moving through more than two empty spaces.",Initiative
B1,8,Boulder Rush,I,Blue,6,2,,Skill,,"Push a token, or an enemy unit, adjacent to you 1 or 2 spaces, ignoring obstacles; you may move up to 2 spaces in the direction of the push, ignoring obstacles.",
B2A,9,Boulder Blitz,II,Blue,7,2,,Skill,,"Push a token, or an enemy unit, adjacent to you 1, 2 or 3 spaces, ignoring obstacles; you may move up to 3 spaces in the direction of the push, ignoring obstacles.",Defense
B2B,9,Stomping Step,II,Blue,7,2,,Skill,4,"Move a unit in radius which is adjacent to terrain, or to a Rock token, 1 space.
Place a Rock token in the space it occupied.",Attack
B3A,9,Boulderdozer,III,Blue,7,2,,Skill,,"Push a token, or an enemy unit, adjacent to you 1, 2, 3 or 4 spaces, ignoring obstacles; you may move up to 4 spaces in the direction of the push, ignoring obstacles.",Movement
B3B,9,Ground Shaker,III,Blue,7,2,,Skill,4,"Move a unit in radius which is adjacent to terrain, or to a Rock token, 1 space.
Place a Rock token in the space it occupied.
May repeat once on a different target.",Attack
R1,7,Seismic Slam,I,Red,7,3,6,Skill,3,"An enemy hero in radius adjacent to terrain, or to a Rock token, discards a card, or is defeated.
(The secondary Attack action is non-ranged.)",
R2A,7,Seismic Assault,II,Red,8,3,7,Skill,4,"An enemy hero in radius adjacent to terrain, or to a Rock token, discards a card, or is defeated.",Initiative
R2B,7,Stone Carapace,II,Red,6,4,7,Movement,,"This round: If you would discard a card from your hand, you may discard this card instead; you may discard this card to perform its defense action, as if it was in your hand.",Defense
R3A,8,Epicenter,III,Red,8,3,7,Skill,4,"An enemy hero in radius adjacent to terrain, or to a Rock token, discards a card, or is defeated.
May repeat once on a different target.",Radius
R3B,8,Rock Solid,III,Red,6,4,7,Movement,,"You may retrieve a discarded card.
This round: If you would discard a card from your hand, you may discard this card instead; you may discard this card to perform its defense action, as if it was in your hand.",Defense
D,11,Fissure,H,Gold,3,1,4,Basic Attack,,"Target a unit adjacent to you. After the attack:
Place a Rock token in each of the first three empty spaces in the straight line from you in the direction of the attack.",
DH,10,Lesser Fissure,H,Gold,2,1,3,Basic Attack,,"Target a hero adjacent to you. After the attack:
Place a rock token in each of the first three empty spaces in the straight line from you in the direction of the attack.",
S,12,Stone Grip,Basic,Silver,4,,,Basic Skill - Ranged,3,"Place exactly 3 Rock tokens into empty spaces adjacent to an enemy hero in range, and as far away from you as possible.",
P,,Rock And A Hard Place,IV,Purple,,,4,Ultimate,,"Once per turn, after you place one or more Rock tokens into one or more spaces adjacent to one or more enemy heroes, each of those heroes discards a card, if able.",
