ID,Initiative,Card Name,Tier,Color,Defense,Movement,Attack,Action Type,Range/Radius,Card Text,Item Icon
D,9,Mind Grip,Basic,Gold,2,1,,Basic Skill - Ranged,5,"Choose one —
• Perform an action on the card in the previous turn slot of an enemy hero in range; if you would place any tokens this way, place Illusion tokens instead; skip giving markers.
• Defeat a minion adjacent to you.",
R3B,8,Devious Scheme,III,Red,6,3,4,Attack - Ranged,2,"Target a unit in range. After the attack:
You may swap an enemy unit in range with an Illusion token in range.",Defense
R1,7,Phantasmal Sentry,I,Red,6,3,2,Attack - Ranged,4,"Choose one —
• Target a hero in range adjacent to an Illusion token in range.
• Target a unit adjacent to you.",
B1,10,Imbue Doubt,I,Blue,4,2,,Skill,3,"Name a color. Next turn, after playing cards:
An enemy hero in radius discards a card of that color, if able.",
B2,11,Time to Reconsider,II,Blue,5,2,,Skill,4,"Name a color. Next turn, after playing cards:
An enemy hero in radius discards a card of that color, if able.",Attack
S,3,Diabolical Laughter,Basic,Silver,3,,,Basic Skill,4,"Laugh diabolically;
if you do, choose up to three times —
• Swap with an Illusion token in radius.
• Place an Illusion token in an adjacent space.
• Swap two resolved cards of an enemy hero in radius, without canceling active effects.",
R2,7,Phantasmal Warrior,II,Red,7,3,3,Attack - Ranged,5,"Choose one —
• Before the attack: Move an Illusion token in range up to 1 space to a space adjacent to an enemy hero in range. Target that hero.
• Target a unit adjacent to you.",Initiative
R2B,7,Twist Fate,II,Red,6,3,4,Attack - Ranged,2,"Target a unit in range. After the attack:
You may swap an enemy unit in range with an Illusion token adjacent to you.",Defense
R3,8,Phantasmal Champion,III,Red,7,3,3,Attack - Ranged,5,"Choose one —
• Before the attack: Move an Illusion token in range up to 2 spaces to a space adjacent to an enemy hero in range. Target that hero.
• Target a unit adjacent to you.",Eye
B2B,11,Crack in Reality,II,Blue,5,2,,Skill,,"Split the board into two sides with a straight line of spaces drawn through your space.
This turn: Units on either side of the line cannot interact with objects and spaces on the other side of the line, as if they did not exist.
(This includes movement, placement, radius-based effects, etc.)",Defense
B3,11,An Illusion of Choice,III,Blue,5,2,,Skill,4,"Name a color. Next turn, after playing cards:
Up to two enemy heroes in radius each discard a card of that color, if able.",Movement
B3B,11,Shift Reality,III,Blue,5,2,,Skill,,"Split the board into two sides with a straight line of spaces drawn through your space.
This turn: Units on either side of the line cannot interact with you, nor with objects and spaces on the other side of the line, as if they did not exist.",Range
G1,6,Fleeting Image,I,Green,3,2,,Skill,2,"Place an Illusion token in radius.
You may swap with an Illusion token in play.",
G2,5,Multiple Projections,II,Green,3,2,,Skill,3,"Place up to 2 Illusion tokens in radius.
You may swap with an Illusion token in play.",Initiative
G2B,5,Illusionary Force,II,Green,3,2,,Skill,4,"Place up to 2 Illusion tokens in radius.
This round: While you are performing actions, all Illusion tokens count as both tokens and friendly melee minions.",Attack
G3,5,Master of Illusions,III,Green,4,2,,Skill,3,"Place up to 3 Illusion tokens in radius.
You may swap with an Illusion token in play.",Initiative
G3B,5,Illusionary Army,III,Green,4,2,,Skill,4,"Place up to 3 Illusion tokens in radius.
This round: While you are performing actions, all Illusion tokens count as both tokens and friendly melee minions.",Attack
P,,What the Hell Are You?,IV,Purple,,,,Ultimate,5,"Each time after you laugh diabolically as part of performing an action, all enemy heroes in radius discard a card, or are defeated.",
DH,8,Mind Probe,H,Gold,1,1,,Basic Skill - Ranged,3,"Perform an action on the card in the previous turn slot of an enemy hero in range; if you would place any tokens this way, place Illusion tokens instead; do not use markers.",
