ID,Card Name,Color,Tier,Initiative,Movement,Attack,Defense,Action Type,Range/Radius,Item Icon,Card Text
D1,Sting Like a Bee,Gold,Basic,7,1,5,1,Basic Attack - Ranged,3,,"Target a unit at maximum range. After the attack: Swap this card with a different gold card in your deck. ( This card starts the game in your deck. )"
D2,Float Like a Butterfly,Gold,Basic,8,5,,8,Basic Movement,,,"Swap this card with a different gold card in your deck. ( This card starts the game in your hand. )"
D3,Strike Like a Tiger,Gold,Basic,9,3,7,3,Basic Attack,,,"Target a unit adjacent to you. After the attack: Swap this card with a different gold card in your deck. ( This card starts the game in your deck. )"
S,Bushido,Silver,Basic,5,,,6,Basic Skill,,,"Swap your gold card with a different gold card in your deck; if you swap a resolved or discarded card this way, place the new card facedown."
SH,Shameful Display,Silver,H,5,,,!,Basic Defense,,,"( You are defeated. )"
P,Ready For War,Purple,IV,,,,,,Ultimate,,"Return your silver card to your deck and take two gold cards from your deck into your hand.
( You now have a total hand size of 6 cards. )"
G1,Come To Aid,Green,I,4,2,,3,Skill - Ranged,3,,"A friendly hero in range may discard a card. If that hero has a card in the discard, you may move up to 3 spaces."
G2A,Bring The Relief,Green,II,3,2,,4,Skill - Ranged,4,Attack,"A friendly hero in range may discard a card. If that hero has a card in the discard, you may move up to 4 spaces."
G2B,Pledge of Allegiance,Green,II,3,2,,4,Skill - Ranged,4,Defense,"A friendly hero in range may discard a card. If that hero has a card in the discard, both you and that hero gain 1 coin and you may retrieve a discarded card."
G3A,Commit Reserves,Green,III,3,2,,4,Skill - Ranged,4,Radius,"A friendly hero in range may discard a card. If that hero has a card in the discard, you may move up to 4 spaces, ignoring obstacles."
G3B,Loyal Retainer,Green,III,3,2,,4,Skill - Ranged,4,Defense,"A friendly hero in range may discard a card. If that hero has a card in the discard, both you and that hero gain 2 coins and you may retrieve a discarded card."
B1,Proven Warrior,Blue,I,9,2,,4,Skill,3,,"Choose a card in the discard of a friendly hero in radius. An enemy hero in radius discards a card of the same color, if able."
B2A,Chosen Champion,Blue,II,10,2,,4,Skill,4,Attack,"Choose a card in the discard of a friendly hero in radius. An enemy hero in radius discards a card of the same color, if able."
B2B,Calculated Risk,Blue,II,10,2,,4,Skill,4,Initiative,"A friendly hero in radius may discard an attack card. If that hero has a card in the discard, that hero may move up to 2 spaces."
B3A,The Right Hand,Blue,III,10,2,,5,Skill,4,,"Choose a card in the discard of a friendly hero in radius. Up to two enemy heroes in radius discard a card of the same color, if able."
B3B,Tactical Gambit,Blue,III,10,2,,5,Skill,4,Initiative,"A friendly hero in radius may discard an attack card. If that hero has a card in the discard, that hero may move up to 2 spaces, ignoring obstacles."
R1,Set An Example,Red,I,11,1,2,1,Attack,3,,"Target a unit adjacent to you. After the attack: A friendly hero in radius may swap their unresolved card with a card in their hand."
R2A,Lead From The Front,Red,II,11,1,3,2,Attack,4,Initiative,"Target a unit adjacent to you. After the attack: A friendly hero in radius may swap their unresolved card with a card in their hand."
R2B,Spinning Blade,Red,II,11,1,3,2,Attack,,Defense,"Target a unit adjacent to you. After the attack: This turn: Empty spaces adjacent to you count as obstacles for enemy units."
R3A,Hold My Saké,Red,III,12,1,3,2,Attack,4,Movement,"Target a unit adjacent to you. After the attack: A friendly hero in radius may swap their unresolved card with a card in their hand, or in their discard."
R3B,Blade Helix,Red,III,12,1,3,2,Attack,1,Radius,"Target a unit adjacent to you. After the attack: This turn: Empty spaces in radius count as obstacles for enemy units."
