ID,Initiative,Card Name,Tier,Color,Defense,Movement,Attack,Action Type,Range/Radius,Card Text,Item Icon
R2A,8,Deadly Swipe,II,Red,7,5,5+,Attack,,Target a unit adjacent to you. +2 Attack for each other enemy unit adjacent to you.,Initiative
S1,3,Siren's Call,Basic,Silver,3,,,Basic Skill - Ranged,3,"Target an enemy unit not adjacent to you and in range; if able, move the target up to 3 spaces to a space adjacent to you.",
R2B,8,Long Thrust,II,Red,4,4,3,Attack - Ranged,1+,Target a unit in range. +1 Range for each enemy unit adjacent to you.,Defense
R3A,8,Lethal Spin,III,Red,7,5,5+,Attack,,Target a unit adjacent to you. +3 Attack for each other enemy unit adjacent to you.,Radius
B1,9,Stone Gaze,I,Blue,5,3,,Skill,2,"Next turn: Enemy heroes in radius count as both heroes and terrain, and cannot perform movement actions.
( If you move, the radius ""moves"" with you. )",
G1,5,Charm,I,Green,3,2,,Movement,2,"Before or after movement, you may move an enemy ranged minion in radius up to 2 spaces.",
D,11,Cleave,Basic,Gold,2,1,4,Basic Attack,,"Target a unit adjacent to you.
After the attack: May repeat once on a different enemy hero.
( You may repeat even if the original target was a minion. )",
R1,7,Threatening Slash,I,Red,6,5,5+,Attack,,Target a unit adjacent to you. +1 Attack for each other enemy unit adjacent to you. ( Do not count the target when calculating the attack bonus. ),
B2A,10,Petrifying Stare,II,Blue,6,3,,Skill,3,"Next turn: Enemy heroes in radius count as both heroes and terrain, and cannot perform movement actions.",Defense
R3B,8,Rapid Thrusts,III,Red,4,4,4,Attack - Ranged,1+,"Target a unit in range. +1 Range for each enemy unit adjacent to you.
May repeat once on a different enemy hero.",Movement
G3B,4,Final Embrace,III,Green,4,2,,Skill,,End of round: Defeat an enemy melee or ranged minion adjacent to you.,Initiative
P1,,Metamorphosis,IV,Purple,,,,Ultimate,,"Gain +1 Movement and +1 Initiative for each enemy unit adjacent to you.
You may move through obstacles.",
G2B,4,Constrict,II,Green,3,2,,Skill,,"End of round: Defeat an enemy melee minion adjacent to you.
( Before the end of round minion battle. )",Initiative
G3A,4,Dominate,III,Green,4,2,,Movement,2,"Before or after movement, you may move an enemy minion in radius up to 2 spaces; ignore heavy minion immunity.",Attack
B3A,10,Turn Into Statues,III,Blue,6,3,,Skill,4,"Next turn: Enemy heroes in radius count as both heroes and terrain, and cannot perform movement actions.",Defense
DH,10,Desperate Cleave,H,Gold,1,1,3,Basic Attack,,"Target a hero adjacent to you.
After the attack: May repeat once on a different enemy hero.",
B2B,10,Fresh Converts,II,Blue,6,3,,Skill,,"If you are adjacent to an enemy minion, you may retrieve a discarded card.",Attack
B3B,10,Devoted Followers,III,Blue,6,3,,Skill,,"If you are adjacent to an enemy unit, you may retrieve a discarded card.",Radius
G2A,4,Control,II,Green,3,2,,Movement,2,"Before or after movement, you may move an enemy ranged or melee minion in radius up to 2 spaces.",Attack
