ID,Initiative,Card Name,Tier,Color,Defense,Movement,Attack,Action Type,Range/Radius,Card Text,Item Icon
G1,6,Time Walk,I,Green,2,2,,Skill - Ranged,3,"Move an enemy hero in range, who remained in the same space since the last turn, 2 spaces in a straight line.",
G2A,5,Fast Forward,II,Green,2,2,,Skill - Ranged,4,"Move an enemy hero in range, who remained in the same space since the last turn, 2 spaces in a straight line.",Attack
G2B,5,Time Capsule,II,Green,2,2,,Skill,4,"You, and friendly heroes in radius, may retrieve all cards discarded this turn.",Initiative
G3A,5,Back to the Future,III,Green,3,2,,Skill - Ranged,4,"Choose one —
• Place a unit in range into the space where that unit was at the start of this turn.
• Move an enemy hero in range, who remained in the same space since the last turn, 2 spaces in a straight line.",Attack
G3B,5,Future Proof,III,Green,3,2,,Skill,4,"Choose one —
• You, and friendly heroes in radius, may retrieve all cards discarded this turn.
• This turn: Friendly heroes in radius are immune to enemy actions.",Initiative
B1,8,Time Snare,I,Blue,3,2,,Skill - Ranged,2,"An enemy hero in range who has already resolved a card this turn discards a card, if able.",
B2A,9,Time Trap,II,Blue,4,2,,Skill - Ranged,3,"An enemy hero in range who has already resolved a card this turn discards a card, if able.",Defense
B2B,9,Time Loop,II,Blue,4,2,,Skill - Ranged,4,"Swap with an enemy hero in range who has already resolved a card this turn.",Radius
B3A,9,Time Bomb,III,Blue,4,2,,Skill - Ranged,3,"An enemy hero in range who has already resolved a card this turn discards a card, or is defeated.",Movement
B3B,9,Time Warp,III,Blue,4,2,,Skill - Ranged,4,"Choose one —
• Swap with an enemy hero in range who has already resolved a card this turn.
• An enemy hero in range swaps their unresolved card with one of their resolved cards of their choice.",Radius
R1,7,Temporal Punch,I,Red,7,3,9,Attack,,"Target a unit adjacent to you; when defending, the enemy hero must use the Initiative value of their card and items instead of the Defense value of their card and items.
(Minion defense modifiers are applied as normal.)",
R2A,7,Temporal Slam,II,Red,7,3,11,Attack,,"Target a unit adjacent to you; when defending, the enemy hero must use the Initiative value of their card and items instead of the Defense value of their card and items.",Initiative
R2B,7,Flashback,II,Red,6,3,5,Attack,,"Target a unit adjacent to you. After the attack:
You may place 3 Glitch tokens in radius, with at least two spaces between each token;
if you do, up to 1 enemy hero in radius swaps with a Glitch token of their choice.
End of turn: Remove all Glitch tokens.",Defense
R3A,8,Temporal Judgment,III,Red,8,3,12,Attack,,"Target a unit adjacent to you; when defending, the enemy hero must use the Initiative value of their card and items instead of the Defense value of their card and items.",Radius
R3B,8,Déjà Vu,III,Red,7,3,6,Attack,3,"Target a unit adjacent to you. After the attack:
You may place 2 Glitch tokens in radius, with at least two spaces between each token;
if you do, up to 1 enemy hero in radius swaps with a Glitch token of their choice.
End of turn: Remove all Glitch tokens.",Defense
S,1,Unstable Timeline,Basic,Silver,6,,,Basic Defense / Skill,4,"Place 2 Glitch tokens in radius, with at least two spaces between each token;
if used as a defense, place 3 tokens instead.
An enemy hero in play chooses one of the Glitch tokens; you swap with that token.
End of turn: Remove all Glitch tokens.",
D,11,Reverse Time,Basic,Gold,2,1,4,Basic Attack,,"Target a unit adjacent to you. After the attack:
Next turn: Heroes with lower initiative act before heroes with higher initiative; this effect ignores immunity.
(Resolve ties as normal.)",
DH,10,Tear in Time,H,Gold,1,1,3,Basic Attack,,"Target a hero adjacent to you.
After the attack: Next Turn: Heroes with lower initiative act before heroes with higher initiative. This effect ignores immunity.",
P,,Alternative Timelines,IV,Purple,,,,Ultimate,,"You may play two cards each turn; if you do, after the cards are revealed, retrieve one of your unresolved cards.",
