ID,Initiative,Card Name,Tier,Color,Defense,Movement,Attack,Action Type,Range/Radius,Card Text,Item Icon
G2,2,Discipline,II,Green,3,2,,"Skill",,"Next turn: Before you perform a primary action, move up to 2 spaces.","Initiative"
B1,10,Sudden Breeze,I,Blue,5,1,,"Skill",,"Move up to 3 spaces in a straight line, ignoring obstacles; you may place an enemy unit you moved through into a space adjacent to you.",
G3B,2,Storm Spirit,III,Green,4,2,,"Skill",3,"Swap two units in radius and at equal distance from you.","Attack"
D,12,Watch How I Soar,Basic,Gold,2,1,,"Basic Skill - Ranged",4,"Choose one —
• Place yourself into a space at maximum range.
• Defeat a minion adjacent to you.",
G3,2,Mastery,III,Green,4,2,,"Skill",,"Next turn: Before you perform a primary action, move up to 3 spaces.","Initiative"
G1,3,Focus,I,Green,3,2,,"Skill",,"Next turn: Before you perform a primary action, you may move 1 space.",
B2B,10,Dash and Slash,II,Blue,6,1,,"Skill",,"Move up to 4 spaces in a straight line, ignoring obstacles; an enemy hero you moved through discards a card, if able.","Defense"
G2B,2,Living Tornado,II,Green,3,2,,"Skill",3,"Swap two units at maximum radius.","Attack"
S,6,Swoop In,Basic,Silver,3,,,"Basic Skill",3,"Place yourself into a space in radius adjacent to two or more enemy units; if you do, you may retrieve a discarded card.",
B2,10,Gust of Wind,II,Blue,6,1,,"Skill",,"Move up to 4 spaces in a straight line, ignoring obstacles; you may place an enemy unit you moved through into a space adjacent to you.","Attack"
R2,9,Matter of Honor,II,Red,7,3,6,"Attack",,"Target a unit adjacent to you. After the attack:
This turn: Gain +3 Defense.","Initiative"
B3B,11,Death From Above,III,Blue,6,1,,"Skill",,"Move up to 5 spaces in a straight line, ignoring obstacles; an enemy hero you moved through discards a card, if able.","Range"
R1,9,Challenge Accepted,I,Red,6,3,5,"Attack",,"Target a unit adjacent to you. After the attack:
This turn: Gain +2 Defense.",
R2B,9,Power Shot,II,Red,4,3,3,"Attack - Ranged",2,"Target a unit in range. After the attack: If the target was at maximum range, you may move it 1 space, to a space farther away from you.","Defense"
B3,11,Crushing Squall,III,Blue,6,1,,"Skill",,"Move up to 5 spaces in a straight line, ignoring obstacles; you may place an enemy unit you moved through into a space adjacent to you.","Radius"
R3B,10,Thunder Shot,III,Red,4,3,3,"Attack - Ranged",2,"Target a unit in range. After the attack: If the target is not adjacent to you, you may move it 1 space, to a space farther away from you.","Defense"
R3,10,Worthy Opponent,III,Red,7,3,6,"Attack",,"Target a unit adjacent to you. After the attack:
This turn: Gain +5 Defense.","Movement"
DH,11,Leaf on the Wind,H,Gold,1,,,"Basic Skill - Ranged",4,"Place yourself into a space at maximum range.",
P,,Power Overwhelming,IV,Purple,,,,"Ultimate",,"Whenever you choose one, you may choose two different options instead, in any order.
Each time after you place yourself, an enemy hero adjacent to you discards a card, if able.",
