ID,Initiative,Card Name,Tier,Color,Defense,Movement,Attack,Action Type,Range/Radius,Card Text,Item Icon
D,12,Shoot and Scoot,Basic,Gold,1,1,1,Basic Attack - Ranged,2,"Target a unit at maximum range.
After the attack: If able, you may fast travel to an adjacent zone.",
S,13,Trailblazer,Basic,Silver,1,,,Basic Skill,4,"You may fast travel, if able.
This round: You and friendly heroes in radius may ignore obstacles while performing movement actions.",
G2B,2,Divert Attention,II,Green,2,2,,Skill,,"Move an enemy unit adjacent to you up to 2 spaces; if you do, move up to that number of spaces in a straight line.",Initiative
R1,9,Snap Shot,I,Red,5,5,3,Attack - Ranged,2,"Choose one —
• Target a unit in range, which is not adjacent to any other unit.
• Target a unit adjacent to you.",
B1,10,Grasping Roots,I,Blue,3,3,,Skill,2,"This turn: Enemy heroes in radius cannot fast travel, or move more than 1 space with a movement action.",
B2,10,Entangling Vines,II,Blue,3,3,,Skill,3,"This turn: Enemy heroes in radius cannot fast travel, or move more than 1 space with a movement action.",Defense
G1,3,Disorient,I,Green,1,2,,Skill,,"Move an enemy unit adjacent to you 1 space; if you do, you may move 1 space.",
R2,9,Opportunity Shot,II,Red,5,5,4,Attack - Ranged,3,"Choose one —
• Target a unit in range, which is not adjacent to any other unit.
• Target a unit adjacent to you.",Defense
R2B,9,Long Shot,II,Red,4,5,3,Attack - Ranged,3,Target a unit at maximum range.,Initiative
R3B,10,Rain of Arrows,III,Red,5,5,3,Attack - Ranged,3,"Target a unit at maximum range.
If you target a hero, repeat once on a different hero; if you do, may repeat once on a minion.",Initiative
R3,10,Clear Shot,III,Red,6,5,5,Attack - Ranged,4,"Choose one —
• Target a unit in range, which is not adjacent to any other unit.
• Target a unit adjacent to you.",Radius
B3,11,Grappling Branches,III,Blue,4,3,,Skill,4,"This turn: Enemy heroes in radius cannot fast travel, or move more than 1 space with a movement action.",Defense
B3B,11,Treetop Sentinel,III,Blue,4,3,,Skill,3,"End of turn: An enemy hero in radius discards a card, or is defeated.",Range
B2B,10,Warning Shot,II,Blue,3,3,,Skill,3,"End of turn: An enemy hero in radius discards a card, if able.",Attack
G2,2,Fae Healing,II,Green,2,2,,Skill,4,"A hero in radius may retrieve a discarded card; if they do, that hero gains 1 coin.",Attack
G3B,2,Lead Astray,III,Green,2,2,,Skill,,"Move an enemy unit adjacent to you up to 3 spaces; if you do, move up to that number of spaces in a straight line.",Movement
G3,2,Nature's Blessing,III,Green,2,2,,Skill,4,"A hero in radius may retrieve a discarded card; if they do, that hero gains 2 coins.",Attack
DH,11,Keep the Distance,H,Gold,1,1,1,Basic Attack - Ranged,2,"Target a hero at maximum range.
After the attack: If able, you may fast travel to an adjacent zone.",
P,,Wild Hunt,IV,Purple,,,,Ultimate,,"Each time before you perform an action, you may move 2 spaces in a straight line.",
